# Constructed from biom file
#ASV ID	GZ_Bl_1	GZ_Bl_2	GZ_Bl_3	SX_Bl_1	SX_Bl_2	SX_Bl_3	GZ_Rs_1	GZ_Rs_2	GZ_Rs_3	SX_Rs_1	SX_Rs_2	SX_Rs_3
ASV_419	92.0	79.0	216.0	101.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_592	32.0	5.0	56.0	148.0	154.0	88.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_453	0.0	0.0	0.0	0.0	0.0	0.0	107.0	54.0	106.0	105.0	55.0	53.0
ASV_279	47.0	7.0	53.0	55.0	32.0	13.0	65.0	197.0	0.0	0.0	0.0	10.0
ASV_658	0.0	0.0	0.0	23.0	0.0	0.0	84.0	54.0	50.0	165.0	45.0	55.0
ASV_483	10.0	0.0	0.0	0.0	0.0	0.0	82.0	38.0	95.0	138.0	50.0	62.0
ASV_640	0.0	0.0	0.0	0.0	9.0	0.0	87.0	37.0	67.0	137.0	34.0	104.0
ASV_659	0.0	0.0	85.0	65.0	325.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_268	66.0	0.0	20.0	40.0	0.0	78.0	25.0	47.0	105.0	37.0	56.0	0.0
ASV_275	39.0	0.0	82.0	71.0	0.0	0.0	0.0	54.0	72.0	95.0	61.0	0.0
ASV_605	12.0	0.0	14.0	120.0	158.0	138.0	0.0	9.0	0.0	0.0	0.0	23.0
ASV_104	232.0	0.0	129.0	0.0	0.0	0.0	33.0	28.0	0.0	27.0	21.0	0.0
ASV_670	0.0	0.0	19.0	77.0	374.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_578	83.0	0.0	30.0	172.0	152.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_140	0.0	0.0	0.0	0.0	0.0	0.0	129.0	50.0	33.0	171.0	25.0	60.0
ASV_614	56.0	0.0	63.0	25.0	27.0	296.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_426	40.0	10.0	64.0	105.0	53.0	22.0	37.0	10.0	67.0	57.0	0.0	0.0
